Designator,Mid X,Mid Y,Rotation,Layer
C1,199.085,-100.0,90.0,bottom
C10,200.221,-101.327,0.0,top
C11,196.541,-110.767,270.0,top
C12,195.358,-99.938,90.0,bottom
C13,191.976,-82.647,180.0,top
C14,192.961,-88.168,180.0,top
C15,190.178,-113.114,270.0,top
C16,195.353,-112.735,90.0,top
C17,193.533,-96.753,180.0,top
C2,198.148,-100.004,90.0,bottom
C4,189.976,-106.788,0.0,bottom
C5,195.591,-110.775,270.0,bottom
C6,200.563,-106.667,180.0,bottom
C7,200.61,-102.271,180.0,bottom
C8,194.993,-96.249,90.0,top
C9,190.762,-102.59,0.0,bottom
D1,199.4485,-89.377,0.0,top
D2,198.514,-94.338,0.0,top
J1,195.53,-76.647,180.0,top
J2,195.399,-123.593,90.0,top
J3,204.449,-99.303,0.0,top
J4,186.669,-99.303,0.0,top
R1,193.956,-82.897,270.0,top
R10,197.596,-90.738,0.0,top
R2,196.824,-82.854,270.0,top
R3,196.528,-98.737,270.0,top
R4,197.468,-98.736,270.0,top
R5,194.085,-110.339,0.0,top
R6,191.16,-95.777,0.0,top
R7,191.669,-96.743,180.0,top
R9,197.562,-93.03,0.0,top
SW1,191.741,-91.955,270.0,top
U1,195.5145,-105.207,90.0,top
U2,192.871,-85.369,270.0,top
U3,192.845,-98.463,0.0,top
Y1,192.757,-112.594,180.0,top
